,x_ones,x_Mkt-RF,x_SMB,x_HML,x_RMW,x_CMA,y_exp_return
2019-12-11,1.0,0.28,-0.09,0.13,0.32,0.16,0.06907148843515876
2019-12-12,1.0,0.9,0.12,1.14,0.12,0.2,7.897734824908588
2019-12-13,1.0,-0.03,-0.45,-0.54,-0.27,-0.23,-3.388072133246954
2019-12-16,1.0,0.74,-0.04,-0.04,-0.4,0.2,2.9091528645084366
2019-12-17,1.0,0.1,0.48,0.67,0.11,-0.03,0.9847402568484945
2019-12-18,1.0,-0.05,0.3,0.09,0.28,0.0,-1.1059039412502731
2019-12-19,1.0,0.43,-0.14,-0.42,-0.25,-0.03,1.245961237715078
2019-12-20,1.0,0.48,-0.27,-0.3,0.0,-0.07,3.0749510585851305
2019-12-23,1.0,0.1,0.16,-0.35,-0.13,0.34,2.960151785546118
2019-12-24,1.0,0.01,0.37,0.0,-0.28,0.04,2.368718989892306
2019-12-26,1.0,0.48,-0.56,0.0,0.25,-0.18,0.18638236101724692
2019-12-27,1.0,-0.1,-0.55,-0.07,0.25,0.1,-0.9720455771641697
2019-12-30,1.0,-0.57,0.28,0.56,0.11,0.38,-1.4361897857309887
2019-12-31,1.0,0.28,0.01,0.12,-0.12,0.25,0.7399247565218273
2020-01-02,1.0,0.86,-0.97,-0.34,0.24,-0.22,7.0589756228703395
2020-01-03,1.0,-0.67,0.3,0.0,-0.14,-0.1,-1.0243299705468052
2020-01-06,1.0,0.36,-0.2,-0.55,-0.17,-0.26,-0.4380968951973869
2020-01-07,1.0,-0.19,-0.03,-0.25,-0.12,-0.25,-0.29531471670650133
2020-01-08,1.0,0.47,-0.17,-0.64,-0.19,-0.17,-0.8764625263115329
2020-01-09,1.0,0.65,-0.71,-0.48,-0.14,0.04,2.3774399874688386
2020-01-10,1.0,-0.34,-0.27,-0.33,0.04,-0.08,-1.6396594482656341
2020-01-13,1.0,0.73,-0.1,-0.08,0.34,0.27,1.198072769570108
2020-01-14,1.0,-0.06,0.47,-0.18,-0.33,-0.05,-1.1136941856971168
2020-01-15,1.0,0.16,0.27,-0.81,-0.08,-0.18,0.6992482037847474
2020-01-16,1.0,0.88,0.52,-0.11,0.03,-0.1,2.506875880277754
2020-01-17,1.0,0.28,-0.63,-0.13,0.23,0.0,2.324720990040014
2020-01-21,1.0,-0.32,-0.67,-0.62,-0.11,-0.25,0.22961541560126464
2020-01-22,1.0,0.08,-0.24,0.01,-0.27,0.01,0.738370369822378
2020-01-23,1.0,0.08,-0.07,-0.14,0.29,-0.07,0.5384269446537309
2020-01-24,1.0,-0.97,-0.5,-0.28,0.17,-0.03,-2.6360534411727303
2020-01-27,1.0,-1.56,0.26,-0.41,-0.53,0.02,-2.1708464461188175
2020-01-28,1.0,1.02,-0.13,-0.42,0.17,-0.06,2.572157736575704
2020-01-29,1.0,-0.1,-0.43,-0.98,0.26,0.09,-5.982648586425504
2020-01-30,1.0,0.34,-0.64,0.69,-0.45,-0.25,2.667122506064285
2020-01-31,1.0,-1.74,-0.5,-0.35,-0.44,-0.66,-3.6550340792143303
2020-02-03,1.0,0.84,0.36,-0.68,-0.68,-0.42,2.1642137399226997
2020-02-04,1.0,1.57,-0.14,-0.68,0.38,-0.17,2.9719264713534206
2020-02-05,1.0,0.97,0.75,1.47,0.95,0.66,0.7826741832787258
2020-02-06,1.0,0.27,-0.59,-0.84,-0.03,-0.39,-1.0493395990603223
2020-02-07,1.0,-0.55,-0.84,-0.03,-0.22,-0.57,0.8253054540735054
2020-02-10,1.0,0.73,-0.17,-0.88,-0.12,-0.51,5.081469942862377
2020-02-11,1.0,0.28,0.34,1.05,0.24,0.33,2.9408062858563073
2020-02-12,1.0,0.66,0.15,-0.35,0.21,0.06,0.16128653134607807
2020-02-13,1.0,-0.09,0.16,0.0,-0.11,-0.39,1.1816032601540132
